Model,Train,Test,Accuracy,F1_macro,Precision_macro,Recall_macro
LogisticRegression,BG3,BG3,0.8912,0.875,0.8946,0.8621
LogisticRegression,BG3,Divinity2,0.7686,0.6663,0.6554,0.8239
LogisticRegression,BG3,AnimalCrossing,0.8349,0.8203,0.8332,0.8128
LogisticRegression,BG3,StardewValley,0.7805,0.4899,0.5245,0.7312
NaiveBayes,BG3,BG3,0.8841,0.8636,0.899,0.8449
NaiveBayes,BG3,Divinity2,0.6736,0.5978,0.6343,0.8146
NaiveBayes,BG3,AnimalCrossing,0.7973,0.7596,0.8372,0.7455
NaiveBayes,BG3,StardewValley,0.6397,0.4251,0.5158,0.6987
LinearSVM,BG3,BG3,0.8953,0.8828,0.8884,0.8781
LinearSVM,BG3,Divinity2,0.7975,0.6889,0.6669,0.8254
LinearSVM,BG3,AnimalCrossing,0.8147,0.8,0.808,0.7947
LinearSVM,BG3,StardewValley,0.7873,0.4908,0.5234,0.7151
